Store ID,Store Name,County,City,Address,Postal Code,Phone Number,Email,Manager Name,Inventory Count
1,Rogers-Williams,Suffolk,Lake Randyshire,0713 Spears Crossing Suite 117,67034,001-382-355-9350x1379,leah91@example.com,Diana Simpson,2074
2,Morgan-Brooks,Tyne and Wear,Jenkinsville,0557 Todd Mountains,71737,4383587776,sedwards@example.net,Robert Bell,1322
3,Dorsey Inc,Cambridgeshire,Stephanieside,2742 Sanders Islands,89310,6074037085,halestephanie@example.net,Jerry Mitchell,4848
4,"Richardson, Cox and Miller",Leicestershire,South Shari,73925 Jeffrey Points,35340,+1-465-242-7253,louis85@example.com,Brian Powell,2729
5,Dunlap-Bennett,West Yorkshire,Kellymouth,73959 Katelyn Road Suite 064,09963,(332)473-1261x7273,carla49@example.org,Lisa Potts,989
6,Barrera LLC,Hertfordshire,Castroburgh,024 Fletcher Shoals,40207,894-363-7466x10031,nicholas50@example.net,Richard Knight,2247
7,"Vasquez, Smith and Brown",Derbyshire,North Carl,57199 Darius Neck Apt. 672,15182,+1-466-270-1888x037,oschaefer@example.org,Chad Mcintosh,4679
8,"Palmer, Tucker and Clark",Hampshire,East Kellybury,4729 Chandler Overpass,83796,001-507-574-6633x8627,jefferybridges@example.net,Adam Hancock,454
9,"Clark, Gomez and Mendez",Berkshire,New Kelly,648 Mark Cape,80078,734-527-7400,navarroadam@example.net,Danielle Berry,1441
10,Hayes LLC,Leicestershire,Dennisland,566 Sara Dam Apt. 532,80984,453.441.5445x73593,ryanelliott@example.net,Emily Snyder DDS,2366
11,"Edwards, Dunn and Davila",Worcestershire,New Claudiatown,924 Griffin Walk Suite 528,38330,001-932-544-7959,fernandezsharon@example.org,Mary Cook,3226
12,"Newton, Brooks and Smith",South Yorkshire,New Jameston,892 Fletcher Way,87373,(277)373-2722,ubanks@example.net,Brandon Bell,1771
13,Sanchez-Price,Northamptonshire,West Debra,730 Jackson Mountain Apt. 205,24825,(334)395-1200,vyoung@example.net,John Gonzalez,241
14,Garcia-Pacheco,South Yorkshire,Port Ivan,716 Kathleen Meadows,88058,+1-641-304-3053x472,kelly41@example.org,Ryan Cooper,1334
15,Bell-Miller,Oxfordshire,Lake Ericfurt,585 Evans Greens,09463,237-781-5916,thomasdavid@example.org,Leslie Spence,3409
16,Hughes PLC,Greater Manchester,South Ronaldborough,357 Mueller Knoll Suite 078,17464,363-876-3747,amiller@example.org,Kevin Johnson,4414
17,"Rodriguez, Martin and Rich",Surrey,Ortizside,15158 Reeves Flat Suite 148,85548,001-225-935-7927x3414,fwade@example.com,Andrea Campos,2224
18,Gardner Inc,Greater Manchester,Hernandezchester,8526 Neal Points Apt. 753,30042,436-825-7936x6467,ellenfrench@example.net,Melissa Valencia,3865
19,Graham LLC,Kent,New Carlos,31078 Emily Dam Apt. 234,25120,863-593-3280x57928,williamsbonnie@example.org,Christopher Ellison,3642
20,Harris-Jones,Cheshire,Hubbardton,42859 Jennifer Port,96658,8902461001,phickman@example.com,Jessica Adams,3115
21,Lam Inc,Tyne and Wear,Port Stephanie,936 Perez Crest Apt. 077,33653,2645819317,castilloadam@example.org,Jason Walters,2422
22,Dixon-Pearson,Norfolk,Davisland,72421 Nguyen Loaf,66202,253-935-1627x8471,wklein@example.org,Victor Acosta,932
23,Wilson and Sons,South Yorkshire,East Yvonnechester,1769 Jessica Curve Apt. 027,75813,001-425-776-1272x7173,amandawhite@example.org,Kevin Kelley,3981
24,Cole-Combs,Lancashire,Port Carlos,9078 Dalton Mountain,72027,(283)558-9771x6888,prattdavid@example.com,Troy Stone,1300
25,Schultz-Moore,Cheshire,Port Nicholasfort,960 Samuel Walks Apt. 106,29282,829-630-9270,uwilson@example.net,Joan Johnson,3262
26,Lambert-Hill,Bedfordshire,Lake David,7742 Curtis Divide Suite 251,52774,001-895-914-7811x926,emartin@example.com,Jonathan Dickson,3935
27,"Edwards, Harding and Lucero",Warwickshire,South Travis,90108 Smith Fork,17353,+1-909-419-4494x539,patricia46@example.com,Stephen Sullivan,731
28,Lawrence-Bennett,Cheshire,South Jennamouth,5571 Anthony Rue,72421,945.564.1371,sallythomas@example.org,Matthew Howard,1594
29,"Taylor, Yu and Leonard",Hertfordshire,Jacquelineville,636 Hart Parks,58156,001-685-852-5761,qsanders@example.net,Catherine Smith,899
30,Evans-Johnson,Essex,West William,9511 Angel Glen Apt. 771,63807,001-714-722-0569x134,mariah75@example.net,Terry Henderson,3234
31,"Perry, Young and Oneill",Surrey,East Shawn,4050 West Divide Apt. 511,49279,855.809.1882,jessica45@example.com,Melanie Harvey,4714
32,Chung and Sons,Suffolk,Parkfurt,12696 James Inlet,82612,5278504366,matthew14@example.com,Katherine Anderson,2385
33,Brown-Lynch,Derbyshire,Hurleytown,798 Crystal Union Apt. 673,81955,001-401-418-5036x7327,castromatthew@example.org,Brady Wilson,3742
34,"Williams, Clark and Ray",Norfolk,East Adamhaven,5926 Dustin Forge Apt. 510,01888,(605)920-5524,zperez@example.com,Ruth Blair,295
35,"Cobb, Allen and Burton",Leicestershire,Lynnstad,89406 Connor Wall Apt. 822,11785,892-601-2599,dakota07@example.org,Matthew Patterson,1914
36,"Espinoza, Jones and Blackburn",Essex,North Stephanietown,1339 Butler Shore Apt. 276,62984,(819)702-5791x0346,tyler61@example.com,Kaylee Schmidt,2189
37,Pittman-Moody,Derbyshire,Boydport,1928 Joyce Island Suite 075,49795,219-639-2974x28331,morrisonjeanette@example.com,Thomas Craig,254
38,"Miller, Wallace and Villa",Gloucestershire,Davisport,40507 Gutierrez Springs Apt. 866,94061,3082586314,phenderson@example.net,Amy Choi,2063
39,"Wallace, Thompson and Norman",Tyne and Wear,Crawfordview,8996 Parker Streets Apt. 965,44535,+1-584-210-2604,nsanchez@example.com,David Rogers,1274
40,Shepard-Anderson,Tyne and Wear,Stephanieton,263 White Plains Apt. 802,51511,(954)602-9298,diane91@example.net,Richard Guerra,726
41,"Duncan, Calderon and Howard",Bedfordshire,Santosberg,476 Joel Mountain,52445,532-264-3335x3714,lstevens@example.org,Suzanne Smith,854
42,Robinson-Horn,Surrey,Thomasborough,22720 Ramirez Port,70962,+1-955-681-1909,katelynphillips@example.net,Kathy Hall,2422
43,Smith Ltd,Buckinghamshire,Amandaton,435 Melanie Drives,25655,(303)466-1538x997,richard76@example.org,Michael Weber,1040
